accountId,assists,heroId,heroKills,lane,neutralKills,gameMode,totalXp,totalGold,win
94155156,17,86,1,1,18,2,7750,6228,1
41231571,8,19,8,3,38,2,12156,11902,1
121769650,0,11,3,2,93,2,10333,9872,0
94155156,16,86,4,2,3,2,10083,7354,1
41231571,3,13,4,1,13,2,9854,10062,1
94155156,17,86,2,3,14,2,16469,11621,1
41231571,9,108,3,1,21,2,16160,11140,1
94155156,13,87,0,1,7,2,5502,4873,1
41231571,9,38,3,3,29,2,6689,7126,1
94155156,13,30,3,3,21,2,11455,10108,0
41231571,10,51,7,1,12,2,14361,13056,0
94155156,19,86,4,1,1,2,12710,9770,1
41231571,16,19,11,1,10,2,16983,13934,1
94155156,19,86,2,1,6,2,11985,10298,1
41231571,11,19,12,3,28,2,19054,17726,1
94155156,32,86,7,1,6,2,24775,17294,1
41231571,14,65,16,3,29,2,20109,16924,1
121769650,6,12,9,2,189,2,26816,24676,0
94155156,13,30,5,3,11,2,12715,10953,1
41231571,14,13,5,2,17,2,28369,21109,1
94155156,12,30,6,1,28,2,16322,14193,1
41231571,17,78,4,3,43,2,20509,17351,1
121769650,7,109,0,3,139,2,15222,17209,0
94155156,16,30,5,2,11,2,13739,11523,1
41231571,14,41,4,3,40,2,16583,14921,1
94155156,12,30,4,3,2,2,5484,5078,1
41231571,17,38,3,3,14,2,8956,7165,1
94155156,14,87,1,1,0,2,12033,9602,1
41231571,10,78,5,3,31,2,21716,18151,1
94155156,12,30,8,3,39,2,19737,17074,1
41231571,12,38,3,1,39,2,25933,18038,1
94155156,25,87,6,2,10,2,25162,16440,1
41231571,17,13,6,1,38,2,31007,29592,1
94155156,23,86,2,3,6,2,11130,8636,1
41231571,17,13,9,1,16,2,14647,13125,1
94155156,12,87,2,1,3,2,9630,8484,1
41231571,11,19,8,3,39,2,17960,14894,1
94155156,16,86,1,2,1,2,8578,7187,1
41231571,10,96,3,3,22,2,10545,9181,1
94155156,12,87,0,1,1,2,8006,4970,1
86745912,4,76,6,2,34,2,14567,14469,1
94155156,21,86,2,1,5,2,12686,10813,1
94155156,11,37,4,1,2,2,20049,11212,1
86745912,10,39,6,2,54,2,27260,25093,1
94155156,21,85,9,2,3,2,18453,13797,1
86745912,16,95,8,3,139,2,35454,35155,1
94155156,2,27,0,2,3,2,4959,3967,0
94155156,17,86,3,3,23,2,21384,14438,1
94155156,11,68,1,3,0,2,7246,6100,0
111620041,7,43,9,2,29,2,18363,17805,1
86745912,8,12,7,1,103,2,22977,24556,1
25907144,12,107,4,2,0,2,12479,9940,1
111620041,9,13,7,2,3,2,12776,14401,1
86745912,2,10,7,1,61,2,15519,15163,1
25907144,14,103,4,2,2,2,8890,7239,1
94155156,6,87,1,2,0,2,5461,4191,0
94155156,26,50,5,3,13,2,25176,15828,1
94155156,32,86,6,1,26,2,19865,13072,1
94155156,12,68,3,3,1,2,10969,8927,0
94155156,25,27,3,3,26,2,22870,14997,1
41231571,15,19,7,3,91,2,28682,21043,1
94155156,6,27,2,2,22,2,16823,13344,1
